observation_date,A191RO1Q156NBEA,,
1/1/1948,2.6,,
4/1/1948,4.6,,
7/1/1948,5.4,,
10/1/1948,3.9,,
1/1/1949,0.9,,
4/1/1949,-1,,
7/1/1949,-0.6,,
10/1/1949,-1.5,,
1/1/1950,3.8,,
4/1/1950,7.3,,
7/1/1950,10.3,,
10/1/1950,13.4,,
1/1/1951,10.6,,
4/1/1951,9.2,,
7/1/1951,7.3,,
10/1/1951,5.5,,
1/1/1952,5.2,,
4/1/1952,3.6,,
7/1/1952,2.2,,
10/1/1952,5.4,,
1/1/1953,6.2,,
4/1/1953,6.8,,
7/1/1953,5.4,,
10/1/1953,0.5,,
1/1/1954,-1.8,,
4/1/1954,-2.4,,
7/1/1954,-0.8,,
10/1/1954,2.7,,
1/1/1955,6.2,,
4/1/1955,7.8,,
7/1/1955,8,,
10/1/1955,6.6,,
1/1/1956,3.2,,
4/1/1956,2.4,,
7/1/1956,0.9,,
10/1/1956,2,,
1/1/1957,3.1,,
4/1/1957,2,,
7/1/1957,3.1,,
10/1/1957,0.4,,
1/1/1958,-2.9,,
4/1/1958,-2,,
7/1/1958,-0.7,,
10/1/1958,2.7,,
1/1/1959,7.4,,
4/1/1959,9.1,,
7/1/1959,6.7,,
10/1/1959,4.6,,
1/1/1960,4.9,,
4/1/1960,2.1,,
7/1/1960,2.5,,
10/1/1960,0.9,,
1/1/1961,-0.7,,
4/1/1961,1.6,,
7/1/1961,3,,
10/1/1961,6.4,,
1/1/1962,7.6,,
4/1/1962,6.7,,
7/1/1962,6,,
10/1/1962,4.3,,
1/1/1963,3.6,,
4/1/1963,3.8,,
7/1/1963,4.8,,
10/1/1963,5.2,,
1/1/1964,6.2,,
4/1/1964,6.2,,
7/1/1964,5.5,,
10/1/1964,5.2,,
1/1/1965,5.5,,
4/1/1965,5.7,,
7/1/1965,6.4,,
10/1/1965,8.5,,
1/1/1966,8.5,,
4/1/1966,7.5,,
7/1/1966,6,,
10/1/1966,4.5,,
1/1/1967,2.9,,
4/1/1967,2.6,,
7/1/1967,2.7,,
10/1/1967,2.7,,
1/1/1968,3.8,,
4/1/1968,5.5,,
7/1/1968,5.3,,
10/1/1968,5,,
1/1/1969,4.5,,
4/1/1969,3.1,,
7/1/1969,2.9,,
10/1/1969,2,,
1/1/1970,0.3,,
4/1/1970,0.2,,
7/1/1970,0.4,,
10/1/1970,-0.2,,
1/1/1971,2.7,,
4/1/1971,3.1,,
7/1/1971,3,,
10/1/1971,4.4,,
1/1/1972,3.5,,
4/1/1972,5.2,,
7/1/1972,5.4,,
10/1/1972,6.9,,
1/1/1973,7.6,,
4/1/1973,6.3,,
7/1/1973,4.8,,
10/1/1973,4,,
1/1/1974,0.6,,
4/1/1974,-0.2,,
7/1/1974,-0.6,,
10/1/1974,-1.9,,
1/1/1975,-2.3,,
4/1/1975,-1.8,,
7/1/1975,0.8,,
10/1/1975,2.6,,
1/1/1976,6.2,,
4/1/1976,6.2,,
7/1/1976,5,,
10/1/1976,4.3,,
1/1/1977,3.2,,
4/1/1977,4.5,,
7/1/1977,5.8,,
10/1/1977,5,,
1/1/1978,4.1,,
4/1/1978,6.1,,
7/1/1978,5.2,,
10/1/1978,6.7,,
1/1/1979,6.5,,
4/1/1979,2.7,,
7/1/1979,2.4,,
10/1/1979,1.3,,
1/1/1980,1.4,,
4/1/1980,-0.8,,
7/1/1980,-1.6,,
10/1/1980,0,,
1/1/1981,1.6,,
4/1/1981,3,,
7/1/1981,4.3,,
10/1/1981,1.3,,
1/1/1982,-2.2,,
4/1/1982,-1,,
7/1/1982,-2.6,,
10/1/1982,-1.4,,
1/1/1983,1.4,,
4/1/1983,3.3,,
7/1/1983,5.7,,
10/1/1983,7.9,,
1/1/1984,8.6,,
4/1/1984,8,,
7/1/1984,6.9,,
10/1/1984,5.6,,
1/1/1985,4.6,,
4/1/1985,3.7,,
7/1/1985,4.3,,
10/1/1985,4.2,,
1/1/1986,4.1,,
4/1/1986,3.7,,
7/1/1986,3.1,,
10/1/1986,2.9,,
1/1/1987,2.7,,
4/1/1987,3.4,,
7/1/1987,3.3,,
10/1/1987,4.5,,
1/1/1988,4.2,,
4/1/1988,4.5,,
7/1/1988,4.2,,
10/1/1988,3.8,,
1/1/1989,4.3,,
4/1/1989,3.7,,
7/1/1989,3.9,,
10/1/1989,2.7,,
1/1/1990,2.8,,
4/1/1990,2.4,,
7/1/1990,1.7,,
10/1/1990,0.6,,
1/1/1991,-1,,
4/1/1991,-0.5,,
7/1/1991,-0.1,,
10/1/1991,1.2,,
1/1/1992,2.9,,
4/1/1992,3.2,,
7/1/1992,3.7,,
10/1/1992,4.4,,
1/1/1993,3.3,,
4/1/1993,2.8,,
7/1/1993,2.3,,
10/1/1993,2.6,,
1/1/1994,3.4,,
4/1/1994,4.2,,
7/1/1994,4.3,,
10/1/1994,4.1,,
1/1/1995,3.5,,
4/1/1995,2.4,,
7/1/1995,2.7,,
10/1/1995,2.2,,
1/1/1996,2.6,,
4/1/1996,4,,
7/1/1996,4.1,,
10/1/1996,4.4,,
1/1/1997,4.3,,
4/1/1997,4.3,,
7/1/1997,4.7,,
10/1/1997,4.5,,
1/1/1998,4.9,,
4/1/1998,4.1,,
7/1/1998,4.1,,
10/1/1998,4.9,,
1/1/1999,4.8,,
4/1/1999,4.7,,
7/1/1999,4.8,,
10/1/1999,4.8,,
1/1/2000,4.2,,
4/1/2000,5.2,,
7/1/2000,4,,
10/1/2000,2.9,,
1/1/2001,2.2,,
4/1/2001,1,,
7/1/2001,0.5,,
10/1/2001,0.2,,
1/1/2002,1.3,,
4/1/2002,1.3,,
7/1/2002,2.1,,
10/1/2002,2,,
1/1/2003,1.7,,
4/1/2003,2,,
7/1/2003,3.2,,
10/1/2003,4.3,,
1/1/2004,4.3,,
4/1/2004,4.2,,
7/1/2004,3.5,,
10/1/2004,3.4,,
1/1/2005,3.9,,
4/1/2005,3.6,,
7/1/2005,3.4,,
10/1/2005,3,,
1/1/2006,3.2,,
4/1/2006,3,,
7/1/2006,2.3,,
10/1/2006,2.6,,
1/1/2007,1.6,,
4/1/2007,1.9,,
7/1/2007,2.4,,
10/1/2007,2.1,,
1/1/2008,1.4,,
4/1/2008,1.4,,
7/1/2008,0.3,,
10/1/2008,-2.5,,
1/1/2009,-3.2,,
4/1/2009,-4,,
7/1/2009,-3.1,,
10/1/2009,0.1,,
1/1/2010,1.7,,
4/1/2010,2.9,,
7/1/2010,3.3,,
10/1/2010,2.8,,
1/1/2011,2,,
4/1/2011,1.7,,
7/1/2011,0.9,,
10/1/2011,1.5,,
1/1/2012,2.6,,
4/1/2012,2.4,,
7/1/2012,2.6,,
10/1/2012,1.6,,
1/1/2013,1.7,,
4/1/2013,1.5,,
7/1/2013,2.2,,
10/1/2013,3,,
1/1/2014,1.7,,
4/1/2014,2.7,,
7/1/2014,3.1,,
10/1/2014,2.7,,
1/1/2015,4,,
4/1/2015,3.3,,
7/1/2015,2.4,,
10/1/2015,2.1,,
1/1/2016,1.8,,
4/1/2016,1.5,,
7/1/2016,1.8,,
10/1/2016,2.2,,
1/1/2017,2.1,,
4/1/2017,2.3,,
7/1/2017,2.4,,
10/1/2017,3,,
1/1/2018,3.3,,
4/1/2018,3.3,,
7/1/2018,3.1,,
10/1/2018,2.1,,
1/1/2019,1.9,,
4/1/2019,2.2,,
7/1/2019,2.8,,
10/1/2019,3.4,,
1/1/2020,1.4,,
4/1/2020,-7.4,,-2.075
7/1/2020,-1.4,,
10/1/2020,-0.9,,
1/1/2021,1.8,,
4/1/2021,12.4,,
7/1/2021,5.2,,
10/1/2021,5.8,,
1/1/2022,4,,
4/1/2022,2.5,,
7/1/2022,2.3,,
10/1/2022,1.3,,
1/1/2023,2.3,,
4/1/2023,2.8,,
7/1/2023,3.2,,
10/1/2023,3.4,,
1/1/2024,2.9,,
4/1/2024,3.1,,
7/1/2024,2.8,,
10/1/2024,2.4,,
1/1/2025,2,,
4/1/2025,2.1,,
